price,fareTypes,availableSites,carryOn,checkedBags,outbound_departureTime,outbound_duration,return_departureTime,return_duration
"C$ 1,741",Basic Economy,0,1,1,7:00 pm,22h 00m,10:30 pm,20h 30m
"C$ 1,741",Basic Economy,0,1,1,7:00 pm,22h 00m,11:15 am,21h 29m
"C$ 1,741",Basic Economy,0,1,1,6:30 am,24h 25m,10:30 pm,20h 30m
"C$ 1,741",Basic Economy,0,1,1,7:00 pm,22h 00m,11:15 am,23h 21m
"C$ 1,741",Basic Economy,0,1,1,7:00 pm,22h 00m,10:30 pm,23h 28m
"C$ 1,741",Basic Economy,0,1,1,7:00 pm,22h 00m,10:30 pm,23h 28m
"C$ 1,741",Basic Economy,0,1,1,7:00 pm,22h 00m,10:30 pm,23h 28m
"C$ 1,741",Basic Economy,0,1,1,7:00 pm,22h 00m,9:15 am,23h 29m
"C$ 1,741",Basic Economy,0,1,1,7:00 pm,22h 00m,11:15 am,23h 33m
"C$ 1,741",Basic Economy,0,1,1,7:00 pm,22h 00m,11:15 am,23h 33m
"C$ 1,741",Basic Economy,0,1,1,7:00 pm,22h 00m,10:30 pm,23h 34m
